N,area,relative_error
100,0.54,0.510708
600,0.47375,0.570737
1100,0.464318,0.579283
1600,0.479062,0.565924
2100,0.477857,0.567016
2600,0.469038,0.575006
3100,0.474919,0.569678
3600,0.476042,0.568661
4100,0.477073,0.567726
4600,0.474457,0.570097
5100,0.4725,0.57187
5600,0.478259,0.566652
6100,0.476066,0.568639
6600,0.481364,0.563838
7100,0.481585,0.563638
7600,0.47773,0.567131
8100,0.475833,0.568849
8600,0.47189,0.572423
9100,0.48206,0.563207
9600,0.472266,0.572082
10100,0.479257,0.565747
10600,0.479363,0.565651
11100,0.48223,0.563054
11600,0.471853,0.572456
12100,0.482665,0.562659
12600,0.482262,0.563025
13100,0.469866,0.574256
13600,0.475202,0.569421
14100,0.47133,0.57293
14600,0.47476,0.569822
15100,0.47548,0.56917
15600,0.474038,0.570476
16100,0.479534,0.565496
16600,0.478419,0.566507
17100,0.477325,0.567498
17600,0.476889,0.567893
18100,0.477224,0.56759
18600,0.475403,0.569239
19100,0.477487,0.567351
19600,0.478048,0.566842
20100,0.47959,0.565446
20600,0.480109,0.564975
21100,0.471185,0.573061
21600,0.481007,0.564162
22100,0.475928,0.568764
22600,0.47479,0.569795
23100,0.47474,0.56984
23600,0.4766,0.568155
24100,0.47471,0.569868
24600,0.478018,0.56687
25100,0.476026,0.568675
25600,0.481084,0.564092
26100,0.475,0.569605
26600,0.478562,0.566377
27100,0.477454,0.567381
27600,0.478071,0.566822
28100,0.475756,0.568919
28600,0.481233,0.563957
29100,0.479227,0.565775
29600,0.477137,0.567668
30100,0.475066,0.569544
30600,0.477623,0.567228
31100,0.47578,0.568898
31600,0.472476,0.571891
32100,0.477313,0.567509
32600,0.476181,0.568534
33100,0.476488,0.568256
33600,0.473348,0.571101
34100,0.47868,0.56627
34600,0.475816,0.568865
35100,0.47688,0.567901
35600,0.476419,0.568319
36100,0.478795,0.566166
36600,0.475922,0.568769
37100,0.475371,0.569269
37600,0.479422,0.565598
38100,0.473878,0.570621
38600,0.476075,0.56863
39100,0.476912,0.567872
39600,0.474602,0.569965
40100,0.475249,0.569379
40600,0.475733,0.568941
41100,0.478157,0.566744
41600,0.47735,0.567475
42100,0.478646,0.566301
42600,0.475158,0.569461
43100,0.476468,0.568275
43600,0.477661,0.567194
44100,0.475561,0.569096
44600,0.47509,0.569523
45100,0.480565,0.564562
45600,0.476579,0.568174
46100,0.478715,0.566239
46600,0.477006,0.567787
47100,0.478296,0.566618
47600,0.478283,0.56663
48100,0.476055,0.568649
48600,0.47679,0.567983
49100,0.475311,0.569323
49600,0.477792,0.567074
50100,0.477021,0.567773
50600,0.478043,0.566847
51100,0.476169,0.568545
51600,0.476802,0.567971
52100,0.476128,0.568583
52600,0.477833,0.567038
53100,0.476935,0.567851
53600,0.476614,0.568142
54100,0.476243,0.568478
54600,0.47647,0.568273
55100,0.476924,0.567861
55600,0.478678,0.566272
56100,0.47639,0.568345
56600,0.473494,0.570969
57100,0.477412,0.567419
57600,0.475299,0.569333
58100,0.474281,0.570256
58600,0.476775,0.567996
59100,0.479543,0.565488
59600,0.475394,0.569247
60100,0.479101,0.565888
60600,0.476757,0.568012
61100,0.47606,0.568644
61600,0.477468,0.567369
62100,0.476824,0.567952
62600,0.479449,0.565573
63100,0.47584,0.568843
63600,0.477818,0.567051
64100,0.475484,0.569166
64600,0.476006,0.568693
65100,0.479747,0.565304
65600,0.477828,0.567042
66100,0.477436,0.567398
66600,0.474617,0.569951
67100,0.478022,0.566867
67600,0.478303,0.566612
68100,0.479405,0.565613
68600,0.47742,0.567412
69100,0.476082,0.568624
69600,0.477662,0.567193
70100,0.479882,0.565181
70600,0.477727,0.567134
71100,0.477468,0.567368
71600,0.478083,0.566811
72100,0.476266,0.568458
72600,0.474659,0.569913
73100,0.478492,0.566441
73600,0.478094,0.566801
74100,0.478866,0.566101
74600,0.476863,0.567916
75100,0.476714,0.568051
75600,0.477817,0.567052
76100,0.478177,0.566726
76600,0.475858,0.568827
77100,0.477286,0.567533
77600,0.477526,0.567316
78100,0.479165,0.565831
78600,0.476508,0.568238
79100,0.475449,0.569198
79600,0.477428,0.567405
80100,0.475908,0.568782
80600,0.476027,0.568674
81100,0.477216,0.567596
81600,0.477822,0.567048
82100,0.475716,0.568956
82600,0.475769,0.568908
83100,0.476255,0.568468
83600,0.477066,0.567732
84100,0.477467,0.567369
84600,0.478759,0.566199
85100,0.477233,0.567582
85600,0.47639,0.568345
86100,0.478049,0.566842
86600,0.475817,0.568864
87100,0.473275,0.571168
87600,0.477175,0.567634
88100,0.480306,0.564796
88600,0.476622,0.568134
89100,0.477551,0.567294
89600,0.478694,0.566257
90100,0.478768,0.56619
90600,0.476697,0.568067
91100,0.477275,0.567543
91600,0.477576,0.56727
92100,0.477663,0.567192
92600,0.477109,0.567694
93100,0.477946,0.566935
93600,0.479111,0.56588
94100,0.476708,0.568057
94600,0.479826,0.565232
95100,0.477216,0.567597
95600,0.475387,0.569254
96100,0.477089,0.567712
96600,0.477384,0.567445
97100,0.475628,0.569035
97600,0.475482,0.569168
98100,0.477232,0.567582
98600,0.478091,0.566804
99100,0.477525,0.567316
99600,0.477937,0.566944
