N,area,relative_error
100,0.574987,0.479007
600,0.438085,0.603053
1100,0.507781,0.539902
1600,0.585255,0.469703
2100,0.485023,0.560523
2600,0.470731,0.573472
3100,0.468999,0.575042
3600,0.472311,0.572041
4100,0.44877,0.593371
4600,0.464275,0.579322
5100,0.537943,0.512572
5600,0.475244,0.569383
6100,0.48746,0.558315
6600,0.517737,0.53088
7100,0.478963,0.566014
7600,0.459341,0.583793
8100,0.483719,0.561704
8600,0.459417,0.583725
9100,0.48743,0.558342
9600,0.467177,0.576693
10100,0.440796,0.600596
10600,0.49982,0.547115
11100,0.479526,0.565504
11600,0.475851,0.568833
12100,0.509817,0.538057
12600,0.469377,0.574699
13100,0.465257,0.578433
13600,0.464459,0.579156
14100,0.471874,0.572437
14600,0.4484,0.593707
15100,0.491214,0.554913
15600,0.459147,0.583969
16100,0.453051,0.589492
16600,0.46662,0.577197
17100,0.4842,0.561269
17600,0.492846,0.553434
18100,0.4992,0.547677
18600,0.462374,0.581045
19100,0.486825,0.55889
19600,0.472311,0.572041
20100,0.488759,0.557137
20600,0.484472,0.561022
21100,0.46287,0.580595
21600,0.495508,0.551022
22100,0.4672,0.576672
22600,0.485577,0.560021
23100,0.472578,0.5718
23600,0.485537,0.560057
24100,0.4741,0.57042
24600,0.475149,0.569469
25100,0.479756,0.565295
25600,0.461401,0.581926
26100,0.478369,0.566552
26600,0.467216,0.576658
27100,0.481328,0.563871
27600,0.476775,0.567996
28100,0.473846,0.570651
28600,0.465561,0.578157
29100,0.480426,0.564688
29600,0.482856,0.562486
30100,0.476472,0.56827
30600,0.469761,0.574352
31100,0.476735,0.568033
31600,0.465033,0.578636
32100,0.49259,0.553666
32600,0.483775,0.561653
33100,0.479197,0.565801
33600,0.484045,0.561409
34100,0.490437,0.555617
34600,0.466732,0.577096
35100,0.472018,0.572306
35600,0.472311,0.572041
36100,0.487385,0.558382
36600,0.468832,0.575193
37100,0.474248,0.570286
37600,0.490225,0.55581
38100,0.481204,0.563983
38600,0.482206,0.563075
39100,0.469737,0.574373
39600,0.508196,0.539526
40100,0.492027,0.554177
40600,0.47484,0.56975
41100,0.481654,0.563575
41600,0.475865,0.568821
42100,0.475676,0.568992
42600,0.464116,0.579466
43100,0.485223,0.560342
43600,0.493034,0.553264
44100,0.476269,0.568455
44600,0.481796,0.563447
45100,0.482283,0.563006
45600,0.467447,0.576448
46100,0.46309,0.580396
46600,0.491083,0.555031
47100,0.470523,0.573661
47600,0.473174,0.571259
48100,0.463815,0.579739
48600,0.475607,0.569055
49100,0.469592,0.574504
49600,0.479598,0.565439
50100,0.46481,0.578838
50600,0.475801,0.568879
51100,0.463108,0.58038
51600,0.483454,0.561944
52100,0.472981,0.571434
52600,0.469734,0.574376
53100,0.475057,0.569553
53600,0.467254,0.576623
54100,0.471286,0.57297
54600,0.470731,0.573472
55100,0.482709,0.56262
55600,0.463742,0.579805
56100,0.482304,0.562986
56600,0.463386,0.580128
57100,0.469829,0.57429
57600,0.481723,0.563513
58100,0.472205,0.572137
58600,0.479249,0.565754
59100,0.478947,0.566028
59600,0.473965,0.570543
60100,0.473848,0.570648
60600,0.475361,0.569278
61100,0.496476,0.550145
61600,0.468977,0.575062
62100,0.475254,0.569374
62600,0.481693,0.56354
63100,0.465639,0.578086
63600,0.47851,0.566424
64100,0.480929,0.564233
64600,0.468306,0.57567
65100,0.486285,0.559379
65600,0.476819,0.567957
66100,0.474703,0.569874
66600,0.473359,0.571091
67100,0.470199,0.573955
67600,0.456393,0.586464
68100,0.475356,0.569282
68600,0.484105,0.561354
69100,0.470023,0.574115
69600,0.476914,0.567871
70100,0.473043,0.571378
70600,0.470391,0.573781
71100,0.470202,0.573952
71600,0.477129,0.567675
72100,0.482251,0.563035
72600,0.477685,0.567172
73100,0.488576,0.557303
73600,0.481574,0.563648
74100,0.484532,0.560967
74600,0.477981,0.566903
75100,0.473268,0.571174
75600,0.477417,0.567414
76100,0.473309,0.571137
76600,0.47601,0.568689
77100,0.477398,0.567432
77600,0.470194,0.573959
78100,0.487062,0.558676
78600,0.478006,0.56688
79100,0.477373,0.567454
79600,0.477058,0.56774
80100,0.469465,0.57462
80600,0.482451,0.562853
81100,0.481806,0.563437
81600,0.481673,0.563559
82100,0.47994,0.565129
82600,0.481509,0.563706
83100,0.480886,0.564272
83600,0.469363,0.574712
84100,0.471456,0.572816
84600,0.465951,0.577804
85100,0.48995,0.556058
85600,0.466457,0.577345
86100,0.47949,0.565536
86600,0.468944,0.575092
87100,0.47738,0.567448
87600,0.475311,0.569322
88100,0.481471,0.563741
88600,0.479032,0.565951
89100,0.489251,0.556692
89600,0.472586,0.571792
90100,0.480447,0.564669
90600,0.477977,0.566907
91100,0.480313,0.56479
91600,0.481816,0.563428
92100,0.471174,0.573072
92600,0.48229,0.562999
93100,0.463289,0.580215
93600,0.478015,0.566873
94100,0.474078,0.57044
94600,0.470878,0.573339
95100,0.474362,0.570182
95600,0.471881,0.57243
96100,0.469426,0.574655
96600,0.476945,0.567842
97100,0.474997,0.569608
97600,0.48342,0.561975
98100,0.482715,0.562614
98600,0.489097,0.556831
99100,0.485635,0.559968
99600,0.478579,0.566362
